Year,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,Total
1940,0.7,54.1,135.6,122.8,83.4,46.3,15.6,1.9,460.4
1941,0.7,56.9,145.4,128.7,85.3,46.1,15.0,1.7,479.8
1942,0.7,61.1,165.1,142.7,91.8,47.9,14.7,1.6,525.6
1943,0.8,61.7,164.0,147.8,99.5,52.8,15.7,1.5,543.8
1944,0.8,54.3,151.8,136.5,98.1,54.6,16.1,1.4,513.6
1945,0.8,51.1,138.9,132.2,100.2,56.9,16.6,1.6,498.3
1946,0.7,59.3,181.8,161.2,108.9,58.7,16.5,1.5,588.6
1947,1,79,210,176,112,59,17,1,654.7
1948,1.0,81.8,200.3,163.4,103.7,54.5,15.7,1.3,621.7
1949,1.0,83.4,200.1,165.4,102.1,53.5,15.3,1.3,622.1
1950,1.0,81.6,196.6,166.1,103.7,52.9,15.1,1.2,618.2
1951,0.9,87.6,211.6,175.3,107.9,54.1,15.4,1.1,653.9
1952,0.9,86.1,217.6,182.0,112.6,55.8,15.5,1.3,671.8
1953,1,88,225,184,113,57,16,1,684.7
1954,0.9,90.6,236.2,188.4,116.9,57.9,16.2,1.0,708.1
1955,0.9,90.3,242.0,190.5,116.2,58.7,16.1,1.0,715.7
1956,1.0,94.6,253.7,194.7,117.3,59.3,16.3,1.0,737.9
1957,1.0,96.3,260.6,199.4,118.9,59.9,16.3,1.1,753.5
1958,0.9,91.4,258.2,198.3,116.2,58.3,15.7,0.9,739.9
1959,0.9,89.1,257.5,198.6,114.4,57.3,15.3,0.9,734.0
1960,0.8,89.1,258.1,197.4,112.7,56.2,15.5,0.9,730.7
1961,0.9,88.6,251.9,197.5,113.2,55.6,15.6,0.9,724.2
1962,0.8,81.4,241.9,191.1,108.6,52.6,14.9,0.9,692.2
1963,0.9,76.7,229.1,185.1,105.8,51.2,14.2,0.9,663.9
1964,0.9,73.1,217.5,178.7,103.4,49.9,13.8,0.8,638.1
1965,0.8,70.5,195.3,161.6,94.4,46.2,12.8,0.8,582.4
1966,0.8,70.3,185.6,148.2,85.1,41.9,11.7,0.7,544.3
1967,0.9,67.5,172.9,142.1,78.7,38.3,10.6,0.7,511.7
1968,1.0,65.6,166.5,140.0,74.2,35.4,9.6,0.6,492.9
1969,1.0,65.5,165.7,143.0,73.5,33.1,8.8,0.5,491.1
1970,1.2,68.3,167.8,145.1,73.3,31.7,8.1,0.5,496.0
1971,1.1,64.5,150.1,134.1,67.3,28.7,7.1,0.4,453.3
1972,1.2,61.7,130.2,117.7,59.8,24.8,6.2,0.4,402.0
1973,1.2,59.3,119.7,112.2,55.6,22.1,5.4,0.3,375.8
1974,1.2,57.5,117.7,111.5,53.8,20.2,4.8,0.3,367.0
1975,1.3,55.6,113.0,108.2,52.3,19.5,4.6,0.3,354.8
1976,1.2,52.8,110.3,106.2,53.6,19.0,4.3,0.2,347.6
1977,1.2,52.8,112.9,111.0,56.4,19.2,4.2,0.2,357.9
1978,1.2,51.5,109.9,108.5,57.8,19.0,3.9,0.2,352.0
1979,1.2,52.3,112.8,111.4,60.3,19.5,3.9,0.2,361.6
1980,1.1,53.0,115.1,112.9,61.9,19.8,3.9,0.2,367.9
1981,1.1,52.2,112.2,111.5,61.4,20.0,3.8,0.2,362.4
1982,1.1,52.4,111.6,111.0,64.1,21.2,3.9,0.2,365.5
1983,1.1,51.4,107.8,108.5,64.9,22.0,3.9,0.2,359.8
1984,1.2,50.6,106.8,108.7,67.0,22.9,3.9,0.2,361.3
1985,1.2,51.0,108.3,111.0,69.1,24.0,4.0,0.2,368.8
1986,1.3,50.2,107.4,109.8,70.1,24.4,4.1,0.2,367.5
1987,1.3,50.6,107.9,111.6,72.1,26.3,4.4,0.2,374.4
1988,1.3,53.0,110.2,114.4,74.8,28.1,4.8,0.2,386.8
1989,1.4,57.3,113.8,117.6,77.4,29.9,5.2,0.2,402.8
1990,1.4,59.9,116.5,120.2,80.8,31.7,5.5,0.2,416.2
1991,1.4,61.8,115.3,117.2,79.2,31.9,5.5,0.2,412.5
1992,1.4,60.3,113.7,115.7,79.6,32.3,5.9,0.3,409.2
1993,1.4,59.0,111.3,113.2,79.9,32.7,6.1,0.3,403.9
1994,1.4,58.2,109.2,111.0,80.4,33.4,6.4,0.3,400.3
1995,1.3,56.0,107.5,108.8,81.1,34.0,6.6,0.3,395.6
1996,1.2,53.5,107.8,108.6,82.1,34.9,6.8,0.3,395.2
1997,1.1,51.3,107.3,108.3,83.0,35.7,7.1,0.4,394.2
1998,1.0,50.3,108.4,110.2,85.2,36.9,7.4,0.4,399.8
1999,0.9,48.8,107.9,111.2,87.1,37.8,7.4,0.4,401.5
2000,0.9,47.7,109.7,113.5,91.2,39.7,8.0,0.5,411.2
2001,0.8,45.0,105.6,113.8,91.8,40.5,8.1,0.5,406.1
2002,0.7,42.6,103.1,114.7,92.6,41.6,8.3,0.5,404.1
2003,0.6,41.1,102.3,116.7,95.7,43.9,8.7,0.5,409.5
2004,0.6,40.5,101.5,116.5,96.2,45.5,9.0,0.5,410.3
2005,0.6,39.7,101.8,116.5,96.7,46.4,9.1,0.6,411.4
2006,0.6,41.1,105.5,118.0,98.9,47.5,9.4,0.6,421.6
2007,0.6,41.5,105.4,118.1,100.6,47.6,9.6,0.6,424.0
2008,0.6,40.2,101.8,115.0,99.4,46.8,9.9,0.7,414.4
2009,0.5,37.9,96.2,111.5,97.5,46.1,10.0,0.7,400.4
2010,0.4,34.2,90.0,108.3,96.5,45.9,10.2,0.7,386.2
2011,0.4,31.3,85.3,107.2,96.5,47.2,10.3,0.7,378.9
2012,0.4,29.4,83.1,106.5,97.3,48.3,10.4,0.7,376.1
2013,0.3,26.5,80.7,105.5,98.0,49.3,10.4,0.8,371.5
2014,0.3,24.2,79.0,105.8,100.8,51.0,10.6,0.8,372.5
2015,0.2,22.3,76.8,104.3,101.5,51.8,11.0,0.8,368.7