date,location,calories
1975-01-01,United States,3033
1976-01-01,United States,3163
1977-01-01,United States,3135
1978-01-01,United States,3155
1979-01-01,United States,3214
1980-01-01,United States,3178
1981-01-01,United States,3218
1982-01-01,United States,3191
1983-01-01,United States,3230
1984-01-01,United States,3275
1985-01-01,United States,3380
1986-01-01,United States,3352
1987-01-01,United States,3450
1988-01-01,United States,3458
1989-01-01,United States,3433
1990-01-01,United States,3493
1991-01-01,United States,3522
1992-01-01,United States,3559
1993-01-01,United States,3605
1994-01-01,United States,3665
1995-01-01,United States,3580
1996-01-01,United States,3587
1997-01-01,United States,3648
1998-01-01,United States,3658
1999-01-01,United States,3673
2000-01-01,United States,3755
2001-01-01,United States,3707
2002-01-01,United States,3783
2003-01-01,United States,3777
2004-01-01,United States,3809
2005-01-01,United States,3828
2006-01-01,United States,3783
2007-01-01,United States,3757
2008-01-01,United States,3700
2009-01-01,United States,3645
2010-01-01,United States,3650
2011-01-01,United States,3649
2012-01-01,United States,3687
2013-01-01,United States,3682